,date,txn_count
1392,2016-02-02,183411
1393,2016-02-03,174818
1394,2016-02-04,177944
1395,2016-02-05,218754
1396,2016-02-06,243807
1397,2016-02-07,295448
1398,2016-02-08,246357
1399,2016-02-09,175379
1400,2016-02-10,172269
1401,2016-02-11,172860
1402,2016-02-12,218989
1403,2016-02-13,239362
1404,2016-02-14,225861
1405,2016-02-15,198701
1406,2016-02-16,179843
1407,2016-02-17,170969
1408,2016-02-18,175746
1409,2016-02-19,211648
1410,2016-02-20,244000
1411,2016-02-21,248585
1412,2016-02-22,192890
1413,2016-02-23,172640
1414,2016-02-24,173693
1415,2016-02-25,182134
1416,2016-02-26,223610
1417,2016-02-27,254493
1418,2016-02-28,262426
1419,2016-02-29,231897
1420,2016-03-01,219525
1421,2016-03-02,202837
1422,2016-03-03,201606
1423,2016-03-04,233499
1424,2016-03-05,253538
1425,2016-03-06,260561
1426,2016-03-07,196515
1427,2016-03-08,186262
1428,2016-03-09,185034
1429,2016-03-10,196060
1430,2016-03-11,226062
1431,2016-03-12,247264
1432,2016-03-13,253812
1433,2016-03-14,222532
1434,2016-03-15,231638
1435,2016-03-16,243181
1436,2016-03-17,292259
1437,2016-03-18,258375
1438,2016-03-19,258844
1439,2016-03-20,257083
1440,2016-03-21,213651
1441,2016-03-22,192545
1442,2016-03-23,194035
1443,2016-03-24,200830
1444,2016-03-25,234599
1445,2016-03-26,233384
1446,2016-03-27,204923
1447,2016-03-28,213091
1448,2016-03-29,208039
1449,2016-03-30,211115
1450,2016-03-31,241235
1451,2016-04-01,287138
1452,2016-04-02,293326
1453,2016-04-03,296491
1454,2016-04-04,249864
1455,2016-04-05,253289
1456,2016-04-06,229072
1457,2016-04-07,235149
1458,2016-04-08,266929
1459,2016-04-09,283206
1460,2016-04-10,284395
1461,2016-04-11,239209
1462,2016-04-12,213033
1463,2016-04-13,215296
1464,2016-04-14,232900
1465,2016-04-15,286861
1466,2016-04-16,290525
1467,2016-04-17,285265
1468,2016-04-18,242019
1469,2016-04-19,222974
1470,2016-04-20,230560
1471,2016-04-21,237673
1472,2016-04-22,270830
1473,2016-04-23,276951
1474,2016-04-24,276892
1475,2016-04-25,239340
1476,2016-04-26,228519
1477,2016-04-27,228800
1478,2016-04-28,241462
1479,2016-04-29,303724
1480,2016-04-30,303355
1481,2016-05-01,316542
1482,2016-05-02,278305
1483,2016-05-03,250617
1484,2016-05-04,244654
1485,2016-05-05,253415
1486,2016-05-06,297789
1487,2016-05-07,293081
1488,2016-05-08,257078
1489,2016-05-09,230319
1490,2016-05-10,226131
1491,2016-05-11,224597
1492,2016-05-12,234093
1493,2016-05-13,269473
1494,2016-05-14,267883
1495,2016-05-15,266709
1496,2016-05-16,230436
1497,2016-05-17,217234
1498,2016-05-18,209810
1499,2016-05-19,215360
1500,2016-05-20,246673
1501,2016-05-21,258124
1502,2016-05-22,252998
1503,2016-05-23,219184
1504,2016-05-24,205734
1505,2016-05-25,208117
1506,2016-05-26,213834
1507,2016-05-27,248299
1508,2016-05-28,247775
1509,2016-05-29,241636
1510,2016-05-30,246174
1511,2016-05-31,261231
1512,2016-06-01,252516
1513,2016-06-02,233035
1514,2016-06-03,257914
1515,2016-06-04,257791
1516,2016-06-05,262373
1517,2016-06-06,220437
1518,2016-06-07,198563
1519,2016-06-08,196244
1520,2016-06-09,204680
1521,2016-06-10,230477
1522,2016-06-11,259325
1523,2016-06-12,247066
1524,2016-06-13,205853
1525,2016-06-14,200088
1526,2016-06-15,218306
1527,2016-06-16,219283
1528,2016-06-17,246977
1529,2016-06-18,247782
1530,2016-06-19,232029
1531,2016-06-20,218563
1532,2016-06-21,198153
1533,2016-06-22,197551
1534,2016-06-23,198250
1535,2016-06-24,234166
1536,2016-06-25,258469
1537,2016-06-26,261050
1538,2016-06-27,223668
1539,2016-06-28,207203
1540,2016-06-29,208253
1541,2016-06-30,247964
1542,2016-07-01,296542
1543,2016-07-02,265210
1544,2016-07-03,247603
1545,2016-07-04,244128
1546,2016-07-05,249140
1547,2016-07-06,225526
1548,2016-07-07,213429
1549,2016-07-08,240700
1550,2016-07-09,263585
1551,2016-07-10,272392
1552,2016-07-11,213892
1553,2016-07-12,202805
1554,2016-07-13,196299
1555,2016-07-14,199358
1556,2016-07-15,263183
1557,2016-07-16,276480
1558,2016-07-17,278331
1559,2016-07-18,225517
1560,2016-07-19,199827
1561,2016-07-20,201574
1562,2016-07-21,208004
1563,2016-07-22,247350
1564,2016-07-23,270024
1565,2016-07-24,273358
1566,2016-07-25,233208
1567,2016-07-26,212423
1568,2016-07-27,215735
1569,2016-07-28,229266
1570,2016-07-29,290050
1571,2016-07-30,293497
1572,2016-07-31,298822
1573,2016-08-01,288486
1574,2016-08-02,248620
1575,2016-08-03,231558
1576,2016-08-04,232660
1577,2016-08-05,274453
